game	seed	map	left	right	winner
1	43000	181/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
2	43001	183/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
3	43002	185/13	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	TEAM/round_7_1230/jinsu_rush.cpp
4	43003	187/15	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
5	43004	189/17	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
6	43005	191/13	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
7	43006	193/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
8	43007	195/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
9	43008	197/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	TEAM/round_7_1230/jinsu_rush.cpp
10	43009	199/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
11	43010	201/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
12	43011	203/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
13	43012	205/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
14	43013	207/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
15	43014	209/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
16	43015	211/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp
17	43016	213/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
18	43017	215/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp
19	43018	217/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
20	43019	219/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
21	43020	221/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
22	43021	223/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
23	43022	225/19	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
24	43023	227/15	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
25	43024	229/17	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
26	43025	231/19	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
27	43026	233/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
28	43027	235/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
29	43028	237/19	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
30	43029	239/15	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
31	43030	241/17	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
32	43031	243/19	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
33	43032	245/15	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
34	43033	247/17	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp	/home/inhyeok/work/inhyuk_v2.cpp
35	43034	249/19	/home/inhyeok/work/inhyuk_v2.cpp	TEAM/round_7_1230/jinsu_rush.cpp	/home/inhyeok/work/inhyuk_v2.cpp
