game	seed	map	left	right	winner
1	985722604	181/15	sehyeon_v4	inhyuk_v3	inhyuk_v3
2	2606721473	183/17	inhyuk_v3	sehyeon_v4	inhyuk_v3
3	121658807	185/17	sehyeon_v4	inhyuk_v3	inhyuk_v3
4	1271412776	187/17	inhyuk_v3	sehyeon_v4	DRAW
5	2238115550	189/17	sehyeon_v4	inhyuk_v3	DRAW
6	2329218786	191/13	inhyuk_v3	sehyeon_v4	DRAW
7	350513273	193/17	sehyeon_v4	inhyuk_v3	inhyuk_v3
8	2109524496	195/13	inhyuk_v3	sehyeon_v4	inhyuk_v3
9	2199013750	197/15	sehyeon_v4	inhyuk_v3	inhyuk_v3
10	295102343	199/17	inhyuk_v3	sehyeon_v4	inhyuk_v3
11	156415908	201/15	sehyeon_v4	inhyuk_v3	sehyeon_v4
12	136101291	203/17	inhyuk_v3	sehyeon_v4	inhyuk_v3
13	1397024035	205/17	sehyeon_v4	inhyuk_v3	inhyuk_v3
14	2359710041	207/17	inhyuk_v3	sehyeon_v4	inhyuk_v3
15	1974122373	209/17	sehyeon_v4	inhyuk_v3	inhyuk_v3
16	105546632	211/15	inhyuk_v3	sehyeon_v4	sehyeon_v4
17	702625292	213/15	sehyeon_v4	inhyuk_v3	inhyuk_v3
18	1158630901	215/17	inhyuk_v3	sehyeon_v4	DRAW
19	2162710555	217/17	sehyeon_v4	inhyuk_v3	inhyuk_v3
20	1768323347	219/17	inhyuk_v3	sehyeon_v4	inhyuk_v3
21	1489912766	221/15	sehyeon_v4	inhyuk_v3	DRAW
22	202322770	223/15	inhyuk_v3	sehyeon_v4	inhyuk_v3
23	5152454	225/19	sehyeon_v4	inhyuk_v3	inhyuk_v3
24	1811314784	227/19	inhyuk_v3	sehyeon_v4	inhyuk_v3
25	17269558	229/17	sehyeon_v4	inhyuk_v3	inhyuk_v3
26	861927431	231/19	inhyuk_v3	sehyeon_v4	inhyuk_v3
27	215368781	233/19	sehyeon_v4	inhyuk_v3	DRAW
28	1300822346	235/19	inhyuk_v3	sehyeon_v4	sehyeon_v4
29	106509986	237/19	sehyeon_v4	inhyuk_v3	DRAW
30	2613613962	239/15	inhyuk_v3	sehyeon_v4	inhyuk_v3
31	1231811074	241/17	sehyeon_v4	inhyuk_v3	inhyuk_v3
32	147721692	243/15	inhyuk_v3	sehyeon_v4	DRAW
33	1977228484	245/17	sehyeon_v4	inhyuk_v3	DRAW
34	255402785	247/19	inhyuk_v3	sehyeon_v4	DRAW
