game	seed	map	left	right	winner
1	1120831276	181/15	inhyuk_v7	sr_reinf	sr_reinf
2	2461913019	183/13	sr_reinf	inhyuk_v7	inhyuk_v7
3	1686425291	185/17	inhyuk_v7	sr_reinf	sr_reinf
4	2470631391	187/13	sr_reinf	inhyuk_v7	sr_reinf
5	2279717991	189/13	inhyuk_v7	sr_reinf	sr_reinf
6	3255015731	191/17	sr_reinf	inhyuk_v7	inhyuk_v7
7	143873699	193/17	inhyuk_v7	sr_reinf	sr_reinf
8	932125801	195/15	sr_reinf	inhyuk_v7	inhyuk_v7
9	1121526797	197/17	inhyuk_v7	sr_reinf	sr_reinf
10	96928491	199/17	sr_reinf	inhyuk_v7	sr_reinf
11	686310889	201/17	inhyuk_v7	sr_reinf	sr_reinf
12	838423445	203/17	sr_reinf	inhyuk_v7	inhyuk_v7
13	7944852	205/15	inhyuk_v7	sr_reinf	sr_reinf
14	184464380	207/15	sr_reinf	inhyuk_v7	inhyuk_v7
15	256509866	209/15	inhyuk_v7	sr_reinf	sr_reinf
16	179363154	211/15	sr_reinf	inhyuk_v7	inhyuk_v7
17	2408318078	213/15	inhyuk_v7	sr_reinf	inhyuk_v7
18	2017816871	215/17	sr_reinf	inhyuk_v7	inhyuk_v7
19	2723127077	217/17	inhyuk_v7	sr_reinf	inhyuk_v7
20	1939432233	219/17	sr_reinf	inhyuk_v7	inhyuk_v7
21	1227215663	221/17	inhyuk_v7	sr_reinf	inhyuk_v7
22	2856026672	223/15	sr_reinf	inhyuk_v7	inhyuk_v7
23	1859324290	225/17	inhyuk_v7	sr_reinf	inhyuk_v7
24	42097044	227/15	sr_reinf	inhyuk_v7	sr_reinf
25	52124602	229/17	inhyuk_v7	sr_reinf	inhyuk_v7
26	950814012	231/15	sr_reinf	inhyuk_v7	inhyuk_v7
27	663519025	233/17	inhyuk_v7	sr_reinf	sr_reinf
28	2485712296	235/17	sr_reinf	inhyuk_v7	inhyuk_v7
29	323116457	237/19	inhyuk_v7	sr_reinf	inhyuk_v7
30	279913335	239/15	sr_reinf	inhyuk_v7	sr_reinf
31	1850910711	241/15	inhyuk_v7	sr_reinf	sr_reinf
32	2599331345	243/19	sr_reinf	inhyuk_v7	sr_reinf
33	848213917	245/17	inhyuk_v7	sr_reinf	sr_reinf
34	10657597	247/17	sr_reinf	inhyuk_v7	inhyuk_v7
35	1006215301	249/17	inhyuk_v7	sr_reinf	inhyuk_v7
36	319104000	181/13	sr_reinf	inhyuk_v7	sr_reinf
37	56522686	183/15	inhyuk_v7	sr_reinf	sr_reinf
38	742229578	185/15	sr_reinf	inhyuk_v7	sr_reinf
39	1836428412	187/13	inhyuk_v7	sr_reinf	sr_reinf
40	255608182	189/15	sr_reinf	inhyuk_v7	sr_reinf
41	85388992	191/15	inhyuk_v7	sr_reinf	sr_reinf
42	25749848	193/17	sr_reinf	inhyuk_v7	inhyuk_v7
43	1827124978	195/15	inhyuk_v7	sr_reinf	sr_reinf
44	2179727411	197/17	sr_reinf	inhyuk_v7	sr_reinf
45	82442657	199/17	inhyuk_v7	sr_reinf	inhyuk_v7
46	27984284	201/15	sr_reinf	inhyuk_v7	sr_reinf
47	2397832321	203/17	inhyuk_v7	sr_reinf	sr_reinf
48	2247716775	205/17	sr_reinf	inhyuk_v7	sr_reinf
49	3229910160	207/15	inhyuk_v7	sr_reinf	sr_reinf
50	58968149	209/17	sr_reinf	inhyuk_v7	inhyuk_v7
51	2518231539	211/17	inhyuk_v7	sr_reinf	inhyuk_v7
52	808311307	213/17	sr_reinf	inhyuk_v7	inhyuk_v7
53	715818905	215/17	inhyuk_v7	sr_reinf	sr_reinf
54	886830235	217/17	sr_reinf	inhyuk_v7	sr_reinf
55	3152211973	219/17	inhyuk_v7	sr_reinf	inhyuk_v7
56	1654693	221/17	sr_reinf	inhyuk_v7	inhyuk_v7
57	1817526145	223/17	inhyuk_v7	sr_reinf	inhyuk_v7
58	20007551	225/19	sr_reinf	inhyuk_v7	sr_reinf
59	156226395	227/15	inhyuk_v7	sr_reinf	inhyuk_v7
60	2495918641	229/17	sr_reinf	inhyuk_v7	sr_reinf
61	647028073	231/17	inhyuk_v7	sr_reinf	inhyuk_v7
62	965627561	233/19	sr_reinf	inhyuk_v7	sr_reinf
63	337822559	235/19	inhyuk_v7	sr_reinf	inhyuk_v7
64	731319486	237/15	sr_reinf	inhyuk_v7	inhyuk_v7
65	2134226753	239/19	inhyuk_v7	sr_reinf	sr_reinf
66	258632235	241/15	sr_reinf	inhyuk_v7	sr_reinf
67	3234629636	243/19	inhyuk_v7	sr_reinf	sr_reinf
68	281041517	245/19	sr_reinf	inhyuk_v7	inhyuk_v7
69	198247987	247/17	inhyuk_v7	sr_reinf	inhyuk_v7
70	532131308	249/19	sr_reinf	inhyuk_v7	inhyuk_v7
71	110342402	181/17	inhyuk_v7	sr_reinf	sr_reinf
72	914430163	183/15	sr_reinf	inhyuk_v7	inhyuk_v7
73	1236227846	185/17	inhyuk_v7	sr_reinf	inhyuk_v7
