game	seed	map	left	right	winner
1	3092820228	181/13	sehyeon7	babsang	sehyeon7
2	1588126297	183/15	babsang	sehyeon7	babsang
3	2914412608	185/15	sehyeon7	babsang	babsang
4	2322317468	187/17	babsang	sehyeon7	babsang
5	2629529324	189/17	sehyeon7	babsang	babsang
6	262312599	191/13	babsang	sehyeon7	babsang
7	1352813884	193/15	sehyeon7	babsang	babsang
8	1894529221	195/15	babsang	sehyeon7	babsang
9	2354813936	197/15	sehyeon7	babsang	sehyeon7
10	183612085	199/17	babsang	sehyeon7	babsang
11	144226007	201/17	sehyeon7	babsang	sehyeon7
12	188745044	203/15	babsang	sehyeon7	babsang
13	21528985	205/17	sehyeon7	babsang	babsang
14	1498215154	207/15	babsang	sehyeon7	sehyeon7
15	1732714475	209/17	sehyeon7	babsang	babsang
16	717425977	211/17	babsang	sehyeon7	sehyeon7
17	836515224	213/15	sehyeon7	babsang	sehyeon7
18	69664402	215/15	babsang	sehyeon7	babsang
19	2195424885	217/17	sehyeon7	babsang	babsang
20	79331105	219/17	babsang	sehyeon7	babsang
21	1807813573	221/17	sehyeon7	babsang	babsang
22	1656524812	223/15	babsang	sehyeon7	babsang
23	3253132523	225/19	sehyeon7	babsang	babsang
24	8401956	227/15	babsang	sehyeon7	babsang
25	2297630778	229/15	sehyeon7	babsang	babsang
26	37128676	231/17	babsang	sehyeon7	babsang
27	505627945	233/17	sehyeon7	babsang	babsang
28	2988231827	235/19	babsang	sehyeon7	sehyeon7
29	8196219	237/15	sehyeon7	babsang	babsang
30	136883168	239/19	babsang	sehyeon7	sehyeon7
31	106022955	241/15	sehyeon7	babsang	sehyeon7
32	94096344	243/15	babsang	sehyeon7	babsang
33	155395412	245/19	sehyeon7	babsang	sehyeon7
34	66211069	247/17	babsang	sehyeon7	babsang
35	841931356	249/17	sehyeon7	babsang	babsang
36	299362488	181/13	babsang	sehyeon7	sehyeon7
37	62628402	183/13	sehyeon7	babsang	babsang
38	202213011	185/13	babsang	sehyeon7	sehyeon7
39	295314316	187/15	sehyeon7	babsang	babsang
40	2323428300	189/13	babsang	sehyeon7	sehyeon7
41	138198059	191/17	sehyeon7	babsang	babsang
42	1435216989	193/13	babsang	sehyeon7	babsang
43	1978030333	195/15	sehyeon7	babsang	sehyeon7
44	3271823013	197/17	babsang	sehyeon7	babsang
45	2584325218	199/15	sehyeon7	babsang	babsang
46	74409383	201/17	babsang	sehyeon7	sehyeon7
47	184904634	203/15	sehyeon7	babsang	babsang
48	47214097	205/17	babsang	sehyeon7	sehyeon7
49	2730119330	207/15	sehyeon7	babsang	sehyeon7
50	2662427014	209/15	babsang	sehyeon7	sehyeon7
51	1682017537	211/17	sehyeon7	babsang	babsang
52	2990429331	213/17	babsang	sehyeon7	babsang
53	2040114126	215/15	sehyeon7	babsang	sehyeon7
54	318558554	217/15	babsang	sehyeon7	babsang
55	1474518157	219/17	sehyeon7	babsang	babsang
56	1549415361	221/17	babsang	sehyeon7	sehyeon7
57	3065819585	223/17	sehyeon7	babsang	babsang
58	972517762	225/17	babsang	sehyeon7	babsang
59	1702921958	227/19	sehyeon7	babsang	babsang
60	31225186	229/17	babsang	sehyeon7	sehyeon7
61	68824953	231/15	sehyeon7	babsang	babsang
62	539629371	233/15	babsang	sehyeon7	babsang
63	81334180	235/17	sehyeon7	babsang	babsang
64	2285418282	237/15	babsang	sehyeon7	sehyeon7
65	925022665	239/17	sehyeon7	babsang	babsang
66	3014626806	241/15	babsang	sehyeon7	babsang
67	1835416325	243/19	sehyeon7	babsang	babsang
68	2361225416	245/19	babsang	sehyeon7	babsang
69	2108214040	247/17	sehyeon7	babsang	babsang
70	152883397	249/17	babsang	sehyeon7	babsang
71	807724175	181/17	sehyeon7	babsang	babsang
72	1430231137	183/15	babsang	sehyeon7	babsang
73	1737919354	185/15	sehyeon7	babsang	babsang
74	2341325170	187/15	babsang	sehyeon7	sehyeon7
75	2002610950	189/15	sehyeon7	babsang	sehyeon7
76	21357938	191/17	babsang	sehyeon7	sehyeon7
