when	user	A	B	games	jobs	map	seed_base	A_win	B_win	draw	err	A_rate	se_pp	runid
2026-08-29T10:43:34	jinsu	new_rule_baseline	v4_0	10	4	random	-	7	0	3	0	1.000	0.0	20260829T104333-jinsu-560367
2026-08-29T10:43:43	jinsu	new_rule_baseline	sample	6	3	N=201	-	6	0	0	0	1.000	0.0	20260829T104342-jinsu-568947
2026-08-29T10:44:40	jinsu	new_rule_baseline	v4_0	100	6	random	-	61	25	14	0	0.709	4.9	20260829T104429-jinsu-574639
2026-08-29T10:58:04	jinsu	new_rule_baseline	v4_0	100	6	random	-	67	3	30	0	0.957	2.4	20260829T105750-jinsu-688149
2026-08-29T10:58:25	jinsu	new_rule_baseline	v4_0	30	6	random	-	18	0	12	0	1.000	0.0	20260829T105822-jinsu-770704
2026-08-29T11:14:01	jinsu	new_rule_improved	sample	70	6	sweep(N=181..249)	-	70	0	0	0	1.000	0.0	20260829T111348-jinsu-864273
2026-08-29T11:14:23	jinsu	new_rule_improved	new_rule_baseline	105	6	sweep(N=181..249)	-	105	0	0	0	1.000	0.0	20260829T111408-jinsu-908925
2026-08-29T11:14:38	jinsu	new_rule_improved	v4_0	105	6	sweep(N=181..249)	-	102	1	2	0	0.990	1.0	20260829T111423-jinsu-981103
2026-08-29T11:15:04	jinsu	new_rule_improved	v5	105	6	sweep(N=181..249)	-	42	0	63	0	1.000	0.0	20260829T111438-jinsu-1058711
2026-08-29T11:17:23	jinsu	new_rule_improved	v5	210	6	sweep(N=181..249)	-	82	6	122	0	0.932	2.7	20260829T111634-jinsu-1138600
2026-08-29T11:20:10	jinsu	new_rule_improved	v6	210	6	sweep(N=181..249)	-	86	4	120	0	0.956	2.2	20260829T111920-jinsu-1295875
2026-08-29T11:35:36	inhyeok	/home/inhyeok/work/nv1.cpp	/home/inhyeok/work/nv1_rush.cpp	20	6	random	-	10	4	6	0	0.714	12.1	20260829T113522-inhyeok-1466285
2026-08-29T11:35:46	inhyeok	/home/inhyeok/work/nv1.cpp	/home/inhyeok/work/nv1_turtle.cpp	20	6	random	-	6	4	10	0	0.600	15.5	20260829T113536-inhyeok-1480610
2026-08-29T11:38:01	inhyeok	/home/inhyeok/work/nv1.cpp	/home/inhyeok/shared/TEAM/round_4_1145/new_rule_improved_v2.cpp	20	6	random	-	0	20	0	0	0.000	0.0	20260829T113749-inhyeok-1499825
2026-08-29T11:40:55	jinsu	new_rule_improved_v2	new_rule_improved	105	6	sweep(N=181..249)	-	53	3	49	0	0.946	3.0	20260829T114028-jinsu-1514315
2026-08-29T11:44:48	jinsu	new_rule_improved_v2	new_rule_baseline	105	6	sweep(N=181..249)	-	105	0	0	0	1.000	0.0	20260829T114437-jinsu-1598607
2026-08-29T11:44:58	jinsu	new_rule_improved_v2	v4_0	105	6	sweep(N=181..249)	-	103	1	1	0	0.990	1.0	20260829T114448-jinsu-1658260
2026-08-29T11:45:15	jinsu	new_rule_improved_v2	v6	105	6	sweep(N=181..249)	-	101	2	2	0	0.981	1.4	20260829T114458-jinsu-1719162
2026-08-29T11:55:06	jinsu	rush	new_rule_improved_v2	105	6	sweep(N=181..249)	-	63	42	0	0	0.600	4.8	20260829T115459-jinsu-1823642
2026-08-29T11:55:14	jinsu	rush	new_rule_improved	105	6	sweep(N=181..249)	-	59	43	3	0	0.578	4.9	20260829T115506-jinsu-1867939
