battle_id	game	opponent	opp_perf	outcome	side	pgn_result	log
675709	1	Decagrammaton	1440	WIN	LEFT	1-0	battle_675709_g1_left.log
675710	1	deepsick	1230	WIN	LEFT	1-0	battle_675710_g1_left.log
675606	1	thanhchauns2	1410	DRAW	RIGHT	1/2-1/2	battle_675606_g1_right.log
675705	1	C_4=K_{2,2}	1260	DRAW	RIGHT	1/2-1/2	battle_675705_g1_right.log
675620	1	돌	1990	LOSS	RIGHT	1-0	battle_675620_g1_right.log
675701	1	윤호와 함께 춤을	1870	LOSS	RIGHT	1-0	battle_675701_g1_right.log
675633	1	따뜻한밥상	1870	LOSS	RIGHT	1-0	battle_675633_g1_right.log
675683	1	Re:Entropy	1790	LOSS	RIGHT	1-0	battle_675683_g1_right.log
675675	1	빔앤권	1790	LOSS	RIGHT	1-0	battle_675675_g1_right.log
675656	1	봇이지 뭐	1680	LOSS	RIGHT	1-0	battle_675656_g1_right.log
675690	1	고양이와 집사	1650	LOSS	RIGHT	1-0	battle_675690_g1_right.log
675696	1	역대급 물로켓	1480	LOSS	RIGHT	1-0	battle_675696_g1_right.log
675645	1	안녕하세요민이입니다잘부탁드립니다	1370	LOSS	RIGHT	1-0	battle_675645_g1_right.log
675711	1	NEXT NATION	1300	LOSS	LEFT	0-1	battle_675711_g1_left.log
675666	1	예쁜 말 고운 말 - 1558	1110	LOSS	RIGHT	1-0	battle_675666_g1_right.log
