round	heading	score_rank	win	draw	loss	fetched_at
1	중간평가 #1 · 8월 29일 11:00:00+9	103015위 / 23팀	2	2	11	2026-08-29T02:05:34.717Z
2	중간평가 #2 · 8월 29일 11:15:00+9	1820 2위 / 23팀	13	5	1	2026-08-29T02:22:00Z
3	중간평가 #3 · 8월 29일 11:30:00+9	145012위 / 23팀	8	2	10	2026-08-29T02:35:47.125520Z
4	중간평가 #4 · 8월 29일 11:45:00+9	18903위 / 23팀	14	2	4	2026-08-29T02:46:21.283640Z
5	중간평가 #5 · 8월 29일 12:00:00+9	18608위 / 23팀	11	3	6	2026-08-29T03:01:05.805025Z
6	중간평가 #6 · 8월 29일 12:15:00+9	172010위 / 23팀	11	2	8	2026-08-29T03:15:51.563139Z
7	중간평가 #7 · 8월 29일 12:30:00+9	20602위 / 23팀	18	1	3	2026-08-29T03:31:30.550203Z
8	중간평가 #8 · 8월 29일 12:45:00+9	20603위 / 23팀	18	0	4	2026-08-29T03:52:36.285910Z
9	중간평가 #9 · 8월 29일 13:00:00+9	19705위 / 23팀	16	1	5	2026-08-29T04:01:12.597441Z
10	중간평가 #10 · 8월 29일 13:15:00+9	18105위 / 23팀	12	5	5	2026-08-29T04:16:06.271296Z
11	중간평가 #11 · 8월 29일 13:30:00+9	19105위 / 23팀	16	1	5	2026-08-29T04:30:59.646731Z
12	중간평가 #12 · 8월 29일 13:45:00+9	19502위 / 23팀	18	1	3	2026-08-29T04:45:52.664475Z
13	중간평가 #13 · 8월 29일 14:00:00+9	20304위 / 23팀	16	2	4	2026-08-29T05:23:24.754490Z
14	중간평가 #14 · 8월 29일 14:15:00+9	21103위 / 23팀	18	2	2	2026-08-29T05:23:13.637208Z
15	중간평가 #15 · 8월 29일 14:30:00+9	199010위 / 23팀	13	0	9	2026-08-29T05:31:21.770137Z
16	중간평가 #16 · 8월 29일 14:45:00+9	20704위 / 23팀	16	1	5	2026-08-29T05:46:17.716880Z
17	중간평가 #17 · 8월 29일 15:00:00+9	18809위 / 23팀	13	2	7	2026-08-29T06:01:11.554885Z
